packet,duration
124,0.896144
447,0.871721
51,0.428953
782,0.871369
413,0.881894
187,0.870943
851,0.883083
176,0.872031
133,0.880868
695,0.905796
148,0.87206
473,0.906755
572,0.868047
761,0.907739
143,0.872682
442,0.91529
789,0.905657
717,0.904632
802,0.871678
383,0.88325
821,0.872779
661,0.921437
725,0.904167
296,0.906875
592,0.906336
66,0.549902
300,0.880748
426,0.906621
582,0.883137
608,0.870946
799,0.870172
175,0.882345
12,0.608733
635,0.882747
68,0.528355
887,0.88255
700,0.904873
682,0.882575
663,0.871879
215,0.872521
839,0.879373
943,0.872805
848,0.882661
321,0.908288
500,0.872773
151,0.86919
58,0.491942
637,0.881703
295,0.872983
134,0.869082
436,0.867771
294,0.882046
951,0.872812
449,0.880919
841,0.903915
547,0.871014
47,0.416268
502,0.881701
8,0.647501
856,0.882321
228,0.881904
362,0.905711
633,0.868328
954,0.871536
736,0.905526
203,0.882647
415,0.906899
940,0.871055
131,0.881699
775,0.904509
606,0.909857
596,0.8817
416,0.882073
227,0.907496
626,0.881806
248,0.870726
748,0.880905
390,0.906011
11,0.618297
344,0.881603
275,0.882429
305,0.882189
490,0.907959
54,0.443878
188,0.905013
751,0.88226
501,0.907597
202,0.905126
780,0.919991
693,0.882411
367,0.870037
776,0.882384
584,0.908192
16,0.570278
326,0.907779
398,0.903378
837,0.88193
193,0.920945
957,0.870392
597,0.871083
888,0.918241
884,0.881607
382,0.906451
481,0.919445
418,0.902952
487,0.90815
121,0.87994
955,0.907359
746,0.871376
727,0.871487
451,0.90591
545,0.906073
255,0.881958
528,0.918205
948,0.86599
659,0.907533
303,0.872934
286,0.882479
128,0.882184
299,0.905034
470,0.903942
925,0.881655
401,0.907531
765,0.882389
757,0.873371
671,0.882879
137,0.870409
627,0.873143
56,0.466967
465,0.906777
813,0.870313
524,0.881378
334,0.91297
918,0.870506
242,0.872153
223,0.870837
445,0.920709
379,0.907535
619,0.871584
93,0.682055
932,0.870196
707,0.882692
200,0.880456
285,0.905204
878,0.87963
536,0.870297
145,0.870555
640,0.895965
455,0.882721
291,0.880794
309,0.869728
290,0.905949
412,0.904903
140,0.871873
578,0.906876
114,0.821211
365,0.905446
13,0.600205
249,0.905458
674,0.870428
433,0.914866
304,0.90638
598,0.909425
125,0.88233
618,0.882114
949,0.904234
850,0.908576
377,0.880495
356,0.869328
883,0.906211
349,0.88153
371,0.907288
960,0.920055
601,0.881879
475,0.871161
408,0.880797
485,0.881748
516,0.881037
15,0.580536
292,0.86806
701,0.88214
734,0.881885
660,0.881021
116,0.844842
394,0.88041
106,0.770165
82,0.612863
319,0.882488
62,0.50091
370,0.914066
307,0.907963
798,0.881197
244,0.894898
329,0.906123
936,0.88172
703,0.906156
397,0.911908
720,0.881454
653,0.904693
622,0.92038
479,0.907686
916,0.908155
274,0.908483
548,0.906718
843,0.86818
95,0.702789
474,0.882061
885,0.871742
924,0.921274
260,0.904945
912,0.871858
788,0.872134
877,0.904489
165,0.868442
353,0.884973
749,0.87056
